종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
셀트리온헬스케어,115200,4600,-3.84,1000,178582,155019,17.21,748246,83.72,13.360000000000001
에코프로비엠,470600,600,0.13,500,103153,21919,16.330000000000002,472394,164.43,NA
엘앤에프,190400,31300,19.67,500,65838,34579,20.18,5085007,-210.62,-9.39
에이치엘비,60300,2400,-3.8299999999999996,500,64286,106610,15.41,2293124,-92.48,-24.1
펄어비스,87400,5200,6.33,100,57878,66222,17.6,1298011,109.66,16.45
셀트리온제약,156600,7400,-4.51,500,57235,36549,7.48,397500,161.78,7.21
카카오게임즈,68300,600,-0.8700000000000001,100,51011,74687,9.870000000000001,1308728,64.67999999999999,12.12
SK머티리얼즈,414900,1900,-0.46,500,43762,10548,17.24,17799,24.02,28.5
씨젠,66200,1400,2.16,500,34574,52226,14.01,1111473,5.59,125.91000000000001
알테오젠,80300,200,-0.25,500,33938,42264,15.54,104787,-285.77,-0.96
CJ ENM,152200,3700,-2.3699999999999997,5000,33376,21929,21.32,122515,32.87,1.78
리노공업,189100,3300,1.78,500,28823,15242,49.849999999999994,42893,38.09,17.37
한국비엔씨,54500,1700,3.22,100,28085,51532,0.56,2920888,-461.86,4.41
천보,272900,4900,1.83,500,27290,10000,8.47,244529,81.29,12.57
스튜디오드래곤,85100,1000,1.1900000000000002,500,25542,30014,11.61,125076,76.19,5.71
휴젤,185000,1600,-0.8600000000000001,500,23098,12485,76.11999999999999,32760,42.05,5.81
솔브레인,291000,900,0.31,500,22636,7779,27.37,41694,16.79,NA
원익IPS,43300,900,-2.04,500,21253,49084,21.95,362457,14.139999999999999,15.91
오스템임플란트,148300,2300,1.58,500,21186,14286,47.59,150894,15.92,78.8
바이오니아,78900,7900,11.129999999999999,500,19892,25212,7.359999999999999,1902497,27.779999999999998,65.71000000000001
에코프로,104800,5100,5.119999999999999,500,19599,18701,11.6,1604718,4.04,7.87
유바이오로직스,52800,1500,2.92,500,19129,36229,6.56,2004836,-20.110000000000003,-91.23
에스티팜,101800,400,-0.39,500,18992,18656,0,125946,-178.6,-4.08
제넥신,75400,500,-0.6599999999999999,500,18860,25013,6.13,105923,36.08,NA
에이치엘비생명과학,19900,1100,-5.24,500,18742,94181,7.7700000000000005,3953288,-29.259999999999998,-17.97
데브시스터즈,162700,14500,-8.18,500,18641,11457,1.98,340029,61.3,-5.7
아프리카TV,156600,6800,4.54,500,18001,11495,52.2,200421,32.59,27.56
LX세미콘,105900,3800,-3.46,500,17224,16264,32.94,352038,9.75,14.44
HK이노엔,56600,1600,-2.75,500,16360,28904,1.6700000000000002,330485,39.55,3.8299999999999996
덕산네오룩스,67900,1100,-1.59,200,16303,24010,17.130000000000003,102448,41.05,18.91
케이엠더블유,40900,450,1.11,500,16287,39821,4.55,259188,178.6,11.54
동화기업,79700,2200,2.84,500,16100,20201,42.46,227555,30.24,4.33
동진쎄미켐,31000,50,0.16,500,15938,51414,8.370000000000001,1386686,21.22,21.58
에코프로에이치엔,102800,500,0.49,500,15733,15305,8.84,378727,NA,NA
파라다이스,17100,350,-2.01,500,15551,90943,5.29,871521,-18.71,-9.8
메지온,173700,500,-0.29000000000000004,500,15460,8900,18.64,47565,-146.09,-27.759999999999998
에스엠,63400,1500,-2.3099999999999996,500,15007,23670,22.6,377507,-31.09,-16.02
대주전자재료,96400,17300,21.87,500,14923,15481,15.75,3951875,134.08,6.119999999999999
티씨케이,127100,600,0.47000000000000003,500,14839,11675,71.96000000000001,62352,21.04,24.650000000000002
고영,20850,200,-0.9500000000000001,100,14315,68655,65.73,151498,74.73,3.74
이오테크닉스,115500,1100,-0.9400000000000001,500,14229,12320,15.67,46140,37.7,5.38
클래시스,21700,1400,6.9,100,14044,64717,11.719999999999999,889458,32.2,36.06
JYP Ent.,39350,400,-1.01,500,13968,35497,22.29,203662,46.02,17.29
에스에프에이,38800,400,-1.02,500,13933,35909,18.34,55372,13.49,11.33
네이처셀,22000,400,1.85,500,13778,62627,5.68,628501,-28.57,-26.1
메드팩토,64100,1200,-1.84,500,13147,20510,5.87,80971,-68.78,-37.720000000000006
NICE평가정보,21650,150,0.7,500,13145,60715,39.67,126196,25.74,19.54
컴투스,100500,700,0.7,500,12931,12866,15.26,44633,21.75,8.49
위메이드,76500,1900,-2.42,500,12852,16800,3.69,1145349,90.96000000000001,-3
NHN한국사이버결제,51800,1300,2.57,500,12692,24503,33.07,349854,38.92,21.35
차바이오텍,22150,300,1.37,500,12462,56261,8.870000000000001,936000,-36.98,-5.1
신라젠,12100,0,0,500,12447,102867,2.3899999999999997,0,-38.41,-114.04
박셀바이오,76700,3000,-3.7600000000000002,500,11676,15223,4.319999999999999,417119,-276.9,-18.22
레고켐바이오,48150,1700,-3.4099999999999997,500,11669,24235,6.98,320195,-31.47,-6.1899999999999995
삼천당제약,51100,500,-0.97,500,11634,22768,3.2800000000000002,182018,-107.13,-0.56
상아프론테크,71900,600,0.8400000000000001,500,11306,15725,2.46,384341,408.52,1.58
SFA반도체,6670,70,-1.04,500,10970,164460,4.58,775853,38.11,5.22
셀리드,110900,7100,-6.02,500,10767,9709,4.6899999999999995,288700,-132.18,-8.370000000000001
콜마비앤에이치,36050,350,-0.96,500,10650,29544,3.32,86736,14.57,27.88
하나머티리얼즈,53900,700,1.32,500,10635,19731,27.24,104670,21.35,22.82
포스코 ICT,6960,30,-0.43000000000000005,500,10582,152035,2.4899999999999998,324603,-31.64,2.36
현대바이오,28700,750,-2.55,500,10499,36580,4.04,535347,-92.58,-17.53
동국제약,23600,200,-0.8400000000000001,500,10493,44460,18.23,72831,20.34,14.450000000000001
오스코텍,34700,1150,-3.21,500,10482,30207,6.14,319914,-57.260000000000005,-8.350000000000001
아이티엠반도체,45200,50,0.11,500,10452,23123,3.42,41077,491.3,5.5
녹십자랩셀,96700,1700,-1.73,500,10206,10554,4.89,46531,116.93,9.12
메디톡스,162700,4200,2.65,500,10176,6254,8.78,69410,15.09,-11.82
셀리버리,59000,0,0,500,10127,17164,4.6899999999999995,279321,-47.160000000000004,-52.53
유진테크,44100,350,-0.7899999999999999,500,10106,22916,24.69,184798,29.9,1.48
아난티,11850,1500,14.49,100,10100,85231,4.159999999999999,27093437,1077.27,-10.96
압타바이오,45400,500,-1.09,500,10074,22190,3.57,341287,-127.16999999999999,-5.33
와이지엔터테인먼트,52900,100,0.19,500,9755,18441,12.729999999999999,175279,92.97,2.74
씨아이에스,16950,950,-5.31,100,9745,57492,5.95,13714302,458.11,-7.73
웹젠,27400,950,3.59,500,9675,35311,26.7,381990,8.48,21.830000000000002
심텍,29950,1000,3.4499999999999997,500,9540,31854,10.67,770017,20.110000000000003,25.12
네오이뮨텍(Reg.S),9570,20,-0.21000000000000002,0,9418,98417,8.139999999999999,455004,-19.610000000000003,-29.939999999999998
에이비엘바이오,19800,400,-1.98,500,9330,47123,4.659999999999999,138639,-21.24,-49.94
서울반도체,15800,100,-0.63,500,9212,58305,8.06,284758,24.73,2.64
아이진,45850,400,-0.8600000000000001,500,9086,19816,3.3699999999999997,491479,-80.44000000000001,-93.1
파마리서치,89700,400,0.45,500,9070,10112,13.719999999999999,106596,21.650000000000002,14.42
RFHIC,33700,250,-0.74,500,8980,26648,11.42,122930,213.29,1.02
골프존,141200,700,-0.49,500,8861,6275,12.96,39561,14.229999999999999,18.03
엘앤씨바이오,38950,450,1.1700000000000002,500,8836,22685,7.46,194477,76.66999999999999,18.650000000000002
하림지주,9540,20,-0.21000000000000002,100,8809,92342,4.4,179027,5.930000000000001,3.18
메가스터디교육,74100,600,0.8200000000000001,100,8790,11862,31.279999999999998,76573,18.74,8.38
헬릭스미스,25450,100,0.39,500,8721,34266,8.26,127065,-13.4,-35.120000000000005
엔케이맥스,24300,1150,4.970000000000001,500,8612,35441,4.42,1129369,-17.03,-36.46
솔브레인홀딩스,40150,2500,6.64,500,8417,20964,4.83,882001,0.46,154.56
