종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
삼성전자,77300,100,-0.13,100,4614642,5969783,51.98,11846941,16.28,9.99
SK하이닉스,104000,1500,-1.42,5000,757122,728002,46.87,2184456,13.01,9.53
"NAVER",405500,5500,1.38,100,666088,164263,56.56,572573,4.03,15.22
삼성바이오로직스,922000,2000,0.22,2500,610041,66165,10.61,46551,182.21,NA
삼성전자우,71700,100,-0.14,100,590010,822887,75.25,1049103,15.1,NA
LG화학,761000,1000,0.13,5000,537208,70592,46.43,398670,20.5,2.93
카카오,119500,4500,3.91,100,531766,444992,30.47,5290884,111.37,2.7
삼성SDI,726000,5000,-0.68,5000,499230,68765,44.91,163704,53.79,4.54
현대차,207000,1500,-0.72,5000,442293,213668,28.65,409939,15,2.04
셀트리온,274500,10000,-3.51,1000,378631,137935,20.98,623545,64.36,16.68
기아,82600,1600,-1.9,5000,334830,405363,34.68,1168511,9.64,5.05
카카오뱅크,69000,2600,3.92,5000,327819,475100,5.37,2107645,223.3,5.08
POSCO,345000,1500,-0.43,5000,300795,87187,55.24,472423,7.8,3.61
현대모비스,260000,3000,-1.14,5000,246462,94793,35.19,249174,11.16,4.66
크래프톤,493000,7000,-1.4,100,241331,48951,6.23,209142,42.45,61.86
삼성물산,128000,2500,-1.92,100,239215,186887,15.16,289244,14.6,3.81
SK이노베이션,249000,3500,1.43,5000,230239,92466,23.27,397166,-51.58,-13.58
LG전자,139500,1000,-0.71,5000,228289,163648,30.54,577803,16.88,13.23
SK텔레콤,308500,1500,-0.48,500,222306,72060,44.35,176131,11.71,6.44
KB금융,53000,1500,2.91,5000,220378,415808,67.51,1353903,5.22,8.53
SK바이오사이언스,274500,15500,5.98,500,209992,76500,5.64,1931561,133.71,13.25
LG생활건강,1339000,2000,0.15,5000,209128,15618,45.12,29018,28.11,17.92
신한지주,39650,700,1.8,5000,204832,516600,60.4,1799203,5.13,8.2
SK,269000,2500,-0.92,200,189269,70360,19.8,155394,17.36,1.11
SK아이이테크놀로지,217000,3000,-1.36,1000,154716,71298,9.64,281336,142.67,11
HMM,38050,200,0.53,5000,154252,405392,9.76,2090373,24.1,8.93
한국전력,23800,400,-1.65,5000,152787,641964,15,3255854,12.82,2.91
LG,95200,100,-0.1,5000,149751,157301,33.5,133245,5.96,7.5
삼성생명,72400,600,0.84,500,144800,200000,12.94,202890,8.27,3.53
하나금융지주,44850,550,1.24,5000,134659,300242,68.09,837767,4.42,8.96
삼성전기,178500,1500,0.85,5000,133328,74694,32.93,267885,15.56,10.92
엔씨소프트,596000,12000,2.05,500,130846,21954,45.94,189871,31.99,20.83
삼성에스디에스,164000,1500,-0.91,500,126900,77378,11.58,118973,19.69,6.71
포스코케미칼,162000,4000,2.53,500,125490,77463,8,714402,117.05,2.96
대한항공,34250,50,0.15,5000,119129,347821,12.21,3853536,17.83,-7.22
S-Oil,105000,1000,0.96,2500,118212,112583,78.12,311307,13.5,-13.07
